"Author","MinRating","MaxRating","MedRating","AvgRating"
"AnStarWar (ArtemisSol)",205,205,205,205
"An_Abudance_Of_Stories",443,443,443,443
"An_Optimist_Prime",304,304,304,304
"An_R",853,853,853,853
"AnaBolyn",547,547,547,547
"AnaMariaApostol",84,646,289,339.666666666667
"AnakinBiwalker",315,912,741,677.25
"AnakinFallenAngel09",446,1781,1350,1192.33333333333
"AnakinHighwalker",755,755,755,755
"AnakinSolo553",2762,2762,2762,2762
"Anakin_Nakamura",82,82,82,82
"Anakin_needs_love",2100,2100,2100,2100
"AnakinsPadawanBraid",719,719,719,719
"Anakinstopyourpanakin",1608,1608,1608,1608
"AnananaSensei",179,537,217,311
"AnandaRunner",382,1195,528,701.666666666667
"Anarchyinplasma",246,630,438,438
"Anastasia10",127,127,127,127
"Anastasia_Hux",76,78,77,77
"Anastasiia_Osypova",62,621,105.5,223.5
"Anath_Tsurugi",1125,1125,1125,1125
"Anaztazia",893,893,893,893
"Anbel123",1803,4276,3039.5,3039.5
"Ancalima",1919,4807,2750,2820.62962962963
"Ancathepurple",1091,42933,4064.5,7850.14705882353
"Ancsi_Tahti",1370,1370,1370,1370
"AndAllMannerofThings",527,6800,688,2671.66666666667
"AndBeAVillian",353,353,353,353
"AndersonLopes",228,4817,2522.5,2522.5
"Andian",92,92,92,92
"AndiinaRaethTash",1190,3464,2769,2542.14285714286
"Andraem (orphan_account)",738,738,738,738
"Andre444",43,377,210,210
"Andrea_E_Howlett_Stark",5575,6165,5870,5870
"AndrewJTalon",1055,1055,1055,1055
"Andrina_Nightshade",1558,1558,1558,1558
"AndrogyneBard",208,208,208,208
"AndromedaCat",25,25,25,25
"Andromeda_Wolf",412,412,412,412
"AndromedaofOthys",461,946,703.5,703.5
"AndyHood",531,75281,1006,10297.375
"AndyKenobi",38,38,38,38
"Andzia267",1165,1165,1165,1165
"Anefi",522,522,522,522
"Anewhope303",291,491,474,418.666666666667
"AngelOfFire",60,548,272,293.333333333333
"AngelQueen",241,8036,1049.5,1684.28571428571
"AngelWars",196,566,518,426.666666666667
"Angel_Baby01",216,216,216,216
"Angel_DemonQueen_Hunter",380,380,380,380
"Angel_Rheanys_Tyrin",160,160,160,160
"Angel_of_Anxiety_and_Tears",410,410,410,410
"Angelcosmo",352,359,355.5,355.5
"AngelicSigils",686,2018,843,1182.33333333333
"AngellTheNinth",229,498,400,381.8
"AngelsDream",198,198,198,198
"AngelynMoon",372,372,372,372
"AngieWithMels",2091,2091,2091,2091
"Anglachel54",500,500,500,500
"Angleterre97",376,870,623,623
"Anglotron",1304,1304,1304,1304
"Angorka",64,591,236.5,282
"AngrySpaceGingers",178,178,178,178
"Angryangryowl",280,3216,469,1108.5
