Thunder_and_Tea,Obi-Wan Kenobi & Quinlan Vos,Dooku & Obi-Wan Kenobi,Dooku/Jocasta Nu
gaylaxylvr (fluffyledollabean),Qui-Gon Jinn & Obi-Wan Kenobi,Qui-Gon Jinn & Anakin Skywalker,Obi-Wan Kenobi & Anakin Skywalker
Hellyjellybean,Kylo Ren,Rey/Ben Solo ,Rey/Ben SoloRey (Star Wars)
Yellowisharo,CC-2224 ,Cody/Obi-Wan Kenobi,Obi-Wan Kenobi & Quinlan VosCC-2224 
Swamp Lily (frosted_swamp_lily),Vah'nya/Eli VantoEli Vanto,Vah'nya (Star Wars)nan,Vah'nya/Eli VantoVah'nya (Star Wars)
The_neurodivergent_nerd,CT-1409 ,Rex,only a little though
Wixiany,One-Shot,CC-2224 ,Cody
ReneeoftheStars,nanEeth Koth,Jedi Padawan Character(s),Jedi Master Character(s)
Halfling_MadMax,Lana Beniko & Sable Beniko-Rivashi,Lana Beniko/Luce Rivashi,Lana Beniko/Female Jedi Knight 
elismor_aswell,Drabble Collection,100 Drabble Challenge,Drabble
slotmachines_fearofgod,CC-2224 ,Cody/Obi-Wan KenobiObi-Wan Kenobi,CodyAngst
the_starlight,Obi-Wan Kenobi & Anakin SkywalkerAnakin Skywalker,Obi-Wan Kenobi,Sheev Palpatine 
DragonRider_9905,CT-21-0408 ,CT-1409 ,Fluff and Humor
Achellias,Obi-Wan Kenobi & Anakin Skywalker,Anakin Skywalker & Ahsoka Tano,Obi-Wan Kenobi & Ahsoka Tano
treescape,Din Djarin/Boba Fett/Luke SkywalkerDin Djarin,Boba Fett,Luke Skywalker
MelodyAndTea,CC-2224 ,Cody,Post-Order 66 (Star Wars)
Azure_Waves,Din Djarin/Darcy LewisDin Djarin,Darcy LewisDigital Art,Established Relationship
Tereox_X,CC-2224 ,Fluff,Clone Troopers Speak Mando'a (Star Wars)
SecretAgentIx,CC-2224 ,Sleep,Slice of Life
Jennifer_Perry12,Anakin Skywalker,Mentioned Shmi Skywalker,Master & Padawan Relationship(s)
Perilous_Grey,Din Djarin & Bo-Katan KryzeDin Djarin,Bo-Katan Kryze,Grogu 
lothaleris,CT-7567 ,Anakin Skywalker & Luke Skywalker,Obi-Wan Kenobi & Anakin Skywalker
NorthernBorealis,Wolffe,Plo Koon & Ahsoka Tano,Ahsoka Tano & CC-3636 
Storygirl21,Padmé Amidala/Anakin Skywalker,Obi-Wan Kenobi/Satine Kryze,Anakin Skywalker & Ahsoka Tano
AudrielTaurelin,nannanInspired by Roleplay/Roleplay Adaptation,Mara Fett (OC) & Clone Troopers,Mara Fett (OC) & Obi-Wan Kenobi
Jess_a_Dreamer,CT-1409 ,CT-21-0408 ,Echo
WhatisWithin,Leia Organa & Luke Skywalker,Leia Organa & Anakin Skywalker,Padmé Amidala/Anakin SkywalkerLeia Organa
SannahOfSkva,Yoda & Other(s),Maz Kanata & Yoda,Dooku & Yoda
EmiWanKenobi,nanPoe DameronFirst Order Poe Dameron,but not the way you think,Ambiguous/Open Ending
SomeRandomJedi,nanObi-Wan Kenobi,Ahsoka Tano,Anakin Skywalker 
Eilisande,Alexsandr Kallus & Ahsoka TanoAlexsandr Kallus,Ahsoka TanoAlexsandr Kallus as Fulcrum,Alexsandr Kallus is a Mess
sophronist,nanCC-2224 ,Codyspace,Spaceships
Greyriver20,CT-7567 ,Clone Force 99 ,Bad Batch & Crosshair (Star Wars: Bad Batch)
ItsEasyBreezy,Din Djarin & Grogu ,Baby Yoda,Grogu 
uncleanakin (unclemoriarty),Baby Yoda,Grogu ,Din Djarin & Grogu 
catsnkooks,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
jediswiftie,Obi-Wan Kenobi/Original Male Character(s),Padmé Amidala/Anakin Skywalker,Obi-Wan Kenobi & Anakin Skywalker
SunsetsOverLA,CS-1004 ,Boomer,Friendship/Love
JillianFahey,CC-5052 ,Savage Opress,All Dathmarians need therapy
taiyaki_keeki,Din Djarin/Luke Skywalker,Din Djarin & Grogu ,Baby Yoda & Luke SkywalkerDin Djarin
Admiral_Byzantium,nanNatasi Daala,Han Solonan
M_DeMarko,Angst,Drama,Emotional Hurt
Goth_Kitty,Rogue Squadron ,nanAhsoka Tano,Obi-Wan Kenobi
Imtheonetheycallme,CT-21-0408 ,CT-1409 ,Hunter (Star Wars: The Bad Batch)/Reader
Jedi_Knight1997,Mara Jade/Luke Skywalker,Jacen Solo & Jaina Solo,Leia Organa/Luke Skywalker/Han Solo
underworldqueen13,Rex,CC-2224 ,Fox
S_anne,Obi-Wan Kenobi/Anakin SkywalkerObi-Wan Kenobi,Anakin Skywalker,Ahsoka Tano
kyberking,Orreliosthe complicated nature of Kalluzeb,Introspection,denied love confessions
LadyAnidala,Padmé Amidala/Anakin Skywalker,CT-7567 ,Padmé Amidala
Buckhunter,CT-9904 ,Crosshair & Mayday (Star Wars: The Bad Batch),Crosshair & Clone Force 99 
ebw_writes499,CC-2224 ,Cody,Cody/Obi-Wan KenobiCC-2224 
Is_Lu_For_Everyone,Obi-Wan Kenobi & Darth MaulObi-Wan Kenobi,Darth MaulPadawan Obi-Wan Kenobi,Darth Maul Being a Little Shit
musing_and_writing,nanFirmus Piett,Double Agents,Salt and Light
ii_Digestive_Reader_ii,Obi-Wan Kenobi/Satine KryzeObi-Wan Kenobi,Satine Kryze,Dexter Jettster
DefNotEri,nanHunter (Star Wars: The Bad Batch),Wrecker (Star Wars: The Bad Batch),Tech (Star Wars: The Bad Batch)
JGVFHL,nanOriginal Clone Character(s),CC-6666,CC-4477 
ohemdee,nanRey (Star Wars)nan
saiditallbefore,Chelli Lona Aphra/River SongChelli Lona Aphra,River SongDouble Drabble,Exes
c_m_li,CT-7567 ,CC-2224 ,Planet Melida 
tocourtdisaster,CC-2224 ,Cody,Not Beta Read
StardustAndAsh,BD-1 & Cal Kestis,Cal Kestis & Clone Troopers,Cal Kestis & The Mantis CrewCal Kestis
questforgalas,Tooth-Rotting Fluff,Anakin Skywalker,CT-1409 
quetzaly,Qui-Gon Jinn & Anakin SkywalkerQui-Gon Jinn,Anakin Skywalker,Obi-Wan Kenobi
peterpparkrr,Poe Dameron/Reader,Poe Dameron/You,Poe Dameron/Original Female Character(s)
Vibratingbones (Nhadel),Thrawn ,Mitth'raw'nuruodo/Reader,Mitth'raw'nuruodo & Reader
thetamehistorian,Din Djarin & Bo-Katan KryzeDin Djarin,Bo-Katan Kryze,Grogu 
RyanTheDark,Obi-Wan Kenobi,Padmé Amidala,Sabé (Star Wars)
cadogurl,Reader-Insert,Armitage Hux Has Feelings,First Order Politics (Star Wars)
Fulcrum55,CC-2224 ,Rex,ARC-5555 
Quiet_Shadow,Short & Sweet,Obi-Wan Kenobi & Quinlan Vos,Obi-Wan Kenobi & Anakin Skywalker
cabezadeperro (minigami),CC-2224 ,Cody/Obi-Wan KenobiObi-Wan Kenobi,CodyEstablished Relationship
Chaotic_Dumbass_Rogue,Hera Syndulla,Childhood Friends,Ezra Bridger
NeutralMime,nanImagine lots of different characters,Plus those with the most well known franchises,Godzilla
Aelfwynn,No Romantic Relationship(s)Tech (Star Wars: The Bad Batch),Angst,Tech-centric (Star Wars: The Bad Batch)
Apollos_Slytherin_Daughter,CT-27-5555 ,ARC-5555 ,Rex
atamascolily,nannanNonfiction,Meta,Time - Freeform
Bronzeling,Original Character(s)/Original Character(s),Original Jedi Character(s)/Original Sith Character(s)Original Sith Character(s),Original Jedi Character(s) (Star Wars)Enemies to Lovers
Wolviecat,Whump,Febuwhump,Hallucinations
XJaneShepardX,nanRey (Star Wars),Sailor Senshi,Tomoe Hotaru
SorciereMystique,Obitine,Obi-Wan and Satine are married,Obi-Wan Kenobi/Satine KryzeSatine Kryze
rakketyrivertam,Rex,CT-1409 ,CT-7567 
SofterSun,CT-1409 ,CT-9904 ,Crosshair & CT-21-0408 
NanoTwentyFaces,CT-1409 ,CT-21-0408 ,Echo
BluePickle,CC-2224 ,Cody & Obi-Wan KenobiCC-2224 ,Cody
Soft__Dragon,CT-1409 ,Tickling,CT-21-0408 
al3xpdx,Din Djarin/Reader,Din Djarin/YouDin Djarin,Not Beta Read
DragonHeartstring360,Luke Skywalker/Reader,Luke Skywalker/YouLuke Skywalker,Din Djarin
amberlo133,CT-7567 ,CC-2224 ,Riyo Chuchi/CC-1010 
BoliTheSenate,Original Mandalorian Characters (Star Wars),Alternate Universe - Canon Divergence,Mandalorian Culture (Star Wars)
Dim_Dino,Homura ,Hikari ,Hana 
StressedWriterTM,Din Djarin/Cobb VanthDin Djarin,Cobb Vanth,Grogu 
DarthRevan236,nanDarth Malgus,Dooku ,Darth Tyranus
JediBatman,Jules César ,Obélix ,Obelix/Phasma (Star Wars)
WhoBarkerDwarfer2,Boba Fett/Fennec ShandBoba Fett,Fennec Shand,Boba Fett
hayam,Padawan Anakin Skywalker,Anakin Skywalker Needs a Hug,Obi-Wan Kenobi Needs a Hug
aetherbandit,nanGrogu ,Baby Yoda,Din DjarinNightmares
AmberOwl24,CT-21-0408 ,CT-1409 ,nanTech (Star Wars: The Bad Batch)
ShinyHalo115,nannanFanwork Research & Reference Guides,AO3 Statistics,Friendship
Vilian,Kimble,Female Jedi Knight ,Hero of Tython
TheGuardianKnight,Ahsoka Tano,Jango Fett & Ahsoka Tano,Obi-Wan Kenobi & Anakin Skywalker
lyricwritesprose,nanOriginal Characters,C-3PO (Star Wars),R2-D2 (Star Wars)
y0u_idjits,Obi-Wan Kenobi/Anakin SkywalkerAnakin Skywalker,CT-7567 ,Rex
nogooddeedgoesunpunished,CT-7567 ,Orrelios,Rex/Ahsoka Tano
januarys,Cal Kestis/MerrinCal Kestis,Merrin (Star Wars)Fluff,and it's utterly romantic that's all I want from these two
BlueWarpath,Rex,CT-7567 ,ARC-5555 
Jedi66,Eren Jaeger / original female character,Sasha Blouse/Bertolt Hoover,Leia Organa/Han SoloEren Yeager
HunnyTheBee,CT-21-0408 ,CT-1409 ,CT-9904 
0dannyphantom0,CC-2224 ,Cody/Obi-Wan KenobiCC-2224 ,Cody
TBNR_Potato,nannannan,nannanPre-Star Wars: The Clone Wars,Canon Divergence - Star Wars: The Phantom Menace
wyolica,Qui-Gon Jinn/Obi-Wan Kenobi,Qui-Gon Jinn & Obi-Wan KenobiQui-Gon Jinn,Obi-Wan Kenobia story about how Obi-Wan Kenobi became Ben Kenobi
superficialspacecadet,nanThe Mandalorian - Character,Din Djarin,Reader
ArtGremlin,nanOmega (Star Wars: The Bad Batch),Wrecker (Star Wars: The Bad Batch),Hunter (Star Wars: The Bad Batch)
avid_audience,Baby Yoda,Din Djarin & Grogu ,Din Djarin & Cara Dune
Darth_Chewbacca,nanDarth Vader,Luke Skywalker,Leia Organa
Gore_Hound,Febuwhump 2023,Whump,Angst
thisisnotthepseudyourelookingfor,Boba Fett & Luke Skywalker,Boba Fett & Beru Whitesun & Owen Lars,Owen Lars & Luke Skywalker & Beru WhitesunBoba Fett
WingsandRings,Anakin Skywalker ,Darth Vader,Darth Vader & Luke Skywalker
Hedincool,Obi-Wan Kenobi & Anakin Skywalker,Anakin Skywalker & Ahsoka Tano,Obi-Wan Kenobi & Ahsoka TanoMace Windu
HadesGhost,Barnes,Kenny McCormick,Eleventh Doctor
StarxRox,Obi-Wan Kenobi & Jaster MereelObi-Wan Kenobi,Jaster Mereel,silas (mentioned)
ZanaZoola14,CC-2224 ,CC-5052 ,CC-1010 
themorgue,Din Djarin/Luke SkywalkerDin Djarin,Luke Skywalker,Grogu 
SallyPejr,Qui-Gon Jinn & Obi-Wan Kenobi,Dooku & Obi-Wan Kenobi,Obi-Wan Kenobi & Jaster MereelObi-Wan Kenobi
jessicas_pi,Leia Organa,Cal Kestis,Obi-Wan Kenobi
scribbledpapermp3,Cassian Andor/K-2SOCassian Andor,K-2SO (Star Wars)Fanart,retrofuture
ShortDrummer2,Kagari,C-3PO (Star Wars),Diana Cavendish
